,count
cell_1378,0.0
cell_1379,0.0
cell_1380,6.0
cell_1381,3.0
cell_1382,0.0
cell_1383,0.0
cell_1384,0.0
cell_1385,2.0
cell_1386,1.0
cell_1387,0.0
cell_1388,0.0
cell_1389,0.0
cell_1390,1.0
cell_1391,0.0
cell_1392,1.0
cell_1393,3.0
cell_1394,0.0
cell_1395,0.0
cell_1396,0.0
cell_1397,0.0
cell_1398,6.0
cell_1399,0.0
cell_1400,0.0
cell_1401,7.0
cell_1402,0.0
cell_1403,6.0
cell_1404,2.0
cell_1405,6.0
cell_1406,2.0
cell_1407,2.0
cell_1408,2.0
cell_1409,1.0
cell_1410,3.0
cell_1411,0.0
cell_1412,0.0
cell_1413,0.0
cell_1414,0.0
cell_1415,0.0
cell_1416,2.0
cell_1417,5.0
cell_1418,1.0
cell_1419,2.0
cell_1420,1.0
cell_1421,0.0
cell_1422,2.0
cell_1423,0.0
cell_1424,0.0
cell_1425,0.0
cell_1426,5.0
cell_1427,2.0
cell_1428,2.0
cell_1429,1.0
cell_1430,0.0
cell_1431,0.0
cell_1432,0.0
cell_1433,0.0
cell_1434,1.0
cell_1435,0.0
cell_1436,2.0
cell_1437,0.0
cell_1438,0.0
cell_1439,0.0
cell_1440,0.0
cell_1441,0.0
cell_1442,8.0
cell_1443,0.0
cell_1444,4.0
cell_1445,1.0
cell_1446,6.0
cell_1447,1.0
cell_1448,4.0
cell_1449,1.0
cell_1450,0.0
cell_1451,0.0
cell_1452,2.0
cell_1453,0.0
cell_1454,3.0
cell_1455,1.0
cell_1456,0.0
cell_1457,0.0
cell_1458,0.0
cell_1459,3.0
cell_1460,0.0
cell_1461,1.0
cell_1462,7.0
cell_1463,2.0
cell_1464,0.0
cell_1465,0.0
cell_1466,3.0
cell_1467,1.0
cell_1468,2.0
cell_1469,0.0
cell_1470,6.0
cell_1471,1.0
cell_1472,0.0
cell_1473,1.0
cell_1474,1.0
cell_1475,0.0
cell_1476,2.0
cell_1477,1.0
cell_1478,1.0
cell_1479,0.0
cell_1480,4.0
cell_1481,3.0
cell_1482,0.0
cell_1483,1.0
cell_1484,0.0
cell_1485,3.0
cell_1486,0.0
cell_1487,8.0
cell_1488,0.0
cell_1489,5.0
cell_1490,4.0
cell_1491,0.0
cell_1492,0.0
cell_1493,0.0
cell_1494,3.0
cell_1495,1.0
cell_1496,0.0
cell_1497,3.0
